group_id,topic,raw_query,raw_results,raw_recent,raw_saved,query2results,results2query,query2recent,recent2query,query2saved,saved2query,results2recent,recent2results,results2saved,saved2results,recent2saved,saved2recent
5ea6bf26294d2737708db367,341,7,16,7,7,6,4,1,1,0,1,4,6,7,4,0,2
5ea6bf26294d2737708db367,367,10,14,7,10,5,3,4,4,1,2,3,2,8,7,1,0
5ea6bf26294d2737708db367,650,9,14,7,2,7,6,2,1,0,1,5,6,2,1,0,0
5ea6e7c0294d2737708eb7ca,341,6,9,2,1,6,5,0,0,0,0,2,2,1,1,0,0
5ea6e7c0294d2737708eb7ca,367,7,13,4,5,7,6,0,0,0,0,3,2,4,4,1,1
5ea6e7c0294d2737708eb7ca,650,9,10,0,1,9,8,0,0,0,0,0,0,1,1,0,0
5ea710ff294d2737708f2646,341,12,23,9,7,10,10,2,1,0,0,6,7,6,6,1,1
5ea710ff294d2737708f2646,367,4,10,5,1,4,3,0,0,0,0,5,5,1,1,0,0
5ea710ff294d2737708f2646,650,3,17,1,13,3,2,0,0,0,0,1,1,13,13,0,0
5ea72ac0ec9f9fc6aa2b211b,341,8,16,3,9,8,4,0,0,0,3,3,3,9,5,0,0
5ea72ac0ec9f9fc6aa2b211b,367,11,29,8,17,8,7,2,1,0,2,5,7,17,14,0,1
5ea72ac0ec9f9fc6aa2b211b,650,10,20,10,7,10,7,0,2,0,0,9,5,4,5,3,1
5ea7fadff5adb0a710abfa76,341,5,19,6,14,4,4,1,0,0,0,3,3,12,12,2,2
5ea7fadff5adb0a710abfa76,367,2,6,1,4,2,1,0,0,0,0,0,1,4,3,0,1
5ea7fadff5adb0a710abfa76,650,2,28,8,18,2,1,0,0,0,0,8,8,18,18,0,0
5eaafdc5ee9f805cdc1e21ff,341,11,19,6,8,7,9,2,0,2,1,4,5,5,7,1,0
5eaafdc5ee9f805cdc1e21ff,367,13,33,11,15,9,12,3,0,1,0,8,10,13,14,1,0
5eaafdc5ee9f805cdc1e21ff,650,12,38,14,16,10,11,1,0,1,1,13,13,13,15,1,0
5eab1924ee9f805cdc1ef9e4,341,4,9,3,3,4,3,0,0,0,0,3,3,3,2,0,0
5eab1924ee9f805cdc1ef9e4,367,3,10,1,8,3,1,0,0,0,1,1,1,8,6,0,0
5eab1924ee9f805cdc1ef9e4,650,15,37,20,6,14,12,1,1,0,1,19,18,5,5,1,0
5eab394b08817a3603e9370b,341,9,12,3,7,6,5,0,1,2,2,3,1,4,5,1,0
5eab394b08817a3603e9370b,367,6,20,5,17,5,4,0,0,1,1,2,3,14,12,2,3
5eab394b08817a3603e9370b,650,9,13,8,0,7,6,2,2,0,0,6,6,0,0,0,0
5eab3cf408817a3603e9850e,341,18,24,3,15,12,13,1,0,5,5,2,2,8,10,1,0
5eab3cf408817a3603e9850e,367,5,6,3,4,4,3,1,0,0,1,1,1,2,1,2,1
5eab3cf408817a3603e9850e,650,16,20,0,8,14,14,0,0,2,2,0,0,5,6,0,0
5eac34e7c16ed7badb7c083c,341,3,9,5,2,2,2,0,0,0,0,5,5,2,2,0,0
5eac34e7c16ed7badb7c083c,367,1,8,2,5,1,0,0,0,0,0,2,2,5,5,0,0
5eac34e7c16ed7badb7c083c,650,10,13,3,4,9,6,1,2,0,1,2,1,4,3,0,0
5eac41a0c16ed7badb7cafce,341,9,19,6,10,6,7,3,1,0,0,2,4,9,9,1,1
5eac41a0c16ed7badb7cafce,367,14,33,10,12,14,11,0,2,0,0,9,8,12,11,0,1
5eac41a0c16ed7badb7cafce,650,18,23,7,2,16,16,2,1,0,0,5,5,1,2,1,0
5ead9a8bc16ed7badb7d88d3,341,7,18,11,10,5,4,1,1,1,1,6,8,8,5,1,4
5ead9a8bc16ed7badb7d88d3,367,4,35,10,29,4,2,0,1,0,0,7,6,26,25,3,3
5ead9a8bc16ed7badb7d88d3,650,11,30,4,17,10,9,1,0,0,1,3,4,17,16,0,0
5eac5940c16ed7badb7d135d,341,7,12,3,6,6,6,1,0,0,0,0,2,5,4,1,2
5eac5940c16ed7badb7d135d,367,4,8,1,4,4,2,0,1,0,0,1,0,4,4,0,0
5eac5940c16ed7badb7d135d,650,11,14,5,4,9,8,2,2,0,0,2,2,4,3,0,1
5eac05f808817a3603eb1295,341,25,41,16,26,17,20,5,3,3,1,4,6,17,18,6,7
5eac05f808817a3603eb1295,367,19,40,12,25,10,14,5,2,4,2,6,8,19,22,2,1
5eac05f808817a3603eb1295,650,23,47,14,20,19,21,3,1,1,0,9,10,16,18,3,2
5eb10c194cf34fb40ff133cb,341,4,6,0,3,4,2,0,0,0,1,0,0,3,2,0,0
5eb10c194cf34fb40ff133cb,367,24,29,4,8,24,19,0,3,0,1,1,1,8,4,0,3
5eb10c194cf34fb40ff133cb,650,17,31,3,15,16,15,0,0,1,1,1,3,14,12,0,2
5eb10e144cf34fb40ff13699,341,12,25,4,10,12,11,0,1,0,0,3,3,10,9,0,1
5eb10e144cf34fb40ff13699,367,23,25,5,9,17,16,1,1,5,5,4,4,4,4,0,0
5eb10e144cf34fb40ff13699,650,18,34,12,14,15,14,3,3,0,0,7,8,13,11,1,2
5eb10fc64cf34fb40ff13d1f,341,11,22,10,4,11,10,0,0,0,0,9,8,2,3,2,1
5eb10fc64cf34fb40ff13d1f,367,9,21,1,10,9,9,0,0,0,0,1,1,10,10,0,0
5eb10fc64cf34fb40ff13d1f,650,7,15,3,6,7,5,0,0,0,1,3,3,6,5,0,0
5eb123174cf34fb40ff180cc,341,7,12,4,4,7,6,0,0,0,0,2,3,3,2,1,2
5eb123174cf34fb40ff180cc,367,6,23,14,15,6,5,0,0,0,0,8,8,9,9,6,6
5eb123174cf34fb40ff180cc,650,3,10,7,2,3,2,0,0,0,0,6,6,1,1,1,1
5eb13c284cf34fb40ff1ac97,341,5,9,1,3,5,4,0,0,0,0,1,1,3,3,0,0
