group_id,topic,raw_query,raw_results,raw_recent,raw_saved,query2results,results2query,query2recent,recent2query,query2saved,saved2query,results2recent,recent2results,results2saved,saved2results,recent2saved,saved2recent
5ea6bf26294d2737708db367,341,4,9,5,4,3,1,0,1,0,1,4,4,4,2,0,1
5ea6bf26294d2737708db367,367,4,3,3,3,1,0,2,2,1,1,1,1,2,1,0,0
5ea6bf26294d2737708db367,650,4,6,4,0,3,2,1,1,0,0,3,3,0,0,0,0
5ea6e7c0294d2737708eb7ca,341,3,5,1,0,3,3,0,0,0,0,1,1,0,0,0,0
5ea6e7c0294d2737708eb7ca,367,3,4,0,0,3,3,0,0,0,0,0,0,0,0,0,0
5ea6e7c0294d2737708eb7ca,650,3,5,0,1,3,3,0,0,0,0,0,0,1,1,0,0
5ea710ff294d2737708f2646,341,6,11,3,3,5,6,1,0,0,0,2,2,2,3,1,0
5ea710ff294d2737708f2646,367,2,8,5,1,2,2,0,0,0,0,4,5,1,1,0,0
5ea710ff294d2737708f2646,650,0,7,1,5,0,0,0,0,0,0,1,1,5,5,0,0
5ea72ac0ec9f9fc6aa2b211b,341,2,7,3,4,2,1,0,0,0,1,3,3,3,2,0,0
5ea72ac0ec9f9fc6aa2b211b,367,5,11,2,7,4,3,1,0,0,1,1,2,7,5,0,0
5ea72ac0ec9f9fc6aa2b211b,650,5,9,6,2,5,3,0,2,0,0,5,2,0,1,2,1
5ea7fadff5adb0a710abfa76,341,1,8,1,6,0,1,1,0,0,0,0,1,6,6,0,0
5ea7fadff5adb0a710abfa76,367,0,2,0,1,0,0,0,0,0,0,0,0,1,1,0,0
5ea7fadff5adb0a710abfa76,650,1,12,4,6,1,1,0,0,0,0,4,4,6,6,0,0
5eaafdc5ee9f805cdc1e21ff,341,3,4,1,0,2,3,1,0,0,0,0,1,0,0,0,0
5eaafdc5ee9f805cdc1e21ff,367,2,12,5,5,1,2,1,0,0,0,4,5,5,5,0,0
5eaafdc5ee9f805cdc1e21ff,650,3,14,8,4,2,3,0,0,1,0,8,8,2,4,0,0
5eab1924ee9f805cdc1ef9e4,341,1,4,1,1,1,1,0,0,0,0,1,1,1,1,0,0
5eab1924ee9f805cdc1ef9e4,367,2,9,0,8,2,1,0,0,0,1,0,0,8,6,0,0
5eab1924ee9f805cdc1ef9e4,650,8,23,13,5,7,6,0,1,0,1,13,11,4,4,1,0
5eab394b08817a3603e9370b,341,3,3,1,1,1,2,0,1,1,0,1,0,0,1,0,0
5eab394b08817a3603e9370b,367,3,3,1,2,1,2,0,0,1,0,0,1,1,1,0,1
5eab394b08817a3603e9370b,650,4,7,7,0,2,1,2,2,0,0,5,5,0,0,0,0
5eab3cf408817a3603e9850e,341,11,9,1,8,4,7,1,0,5,4,0,0,2,4,1,0
5eab3cf408817a3603e9850e,367,2,4,1,1,2,2,0,0,0,0,0,1,1,0,0,1
5eab3cf408817a3603e9850e,650,9,9,0,2,7,8,0,0,2,1,0,0,0,1,0,0
5eac34e7c16ed7badb7c083c,341,1,6,5,0,1,0,0,0,0,0,5,5,0,0,0,0
5eac34e7c16ed7badb7c083c,367,0,5,0,4,0,0,0,0,0,0,0,0,4,4,0,0
5eac34e7c16ed7badb7c083c,650,4,5,0,2,4,2,0,0,0,1,0,0,2,1,0,0
5eac41a0c16ed7badb7cafce,341,2,4,1,2,1,2,0,0,0,0,0,1,2,2,0,0
5eac41a0c16ed7badb7cafce,367,5,11,2,4,5,5,0,0,0,0,1,2,4,4,0,0
5eac41a0c16ed7badb7cafce,650,12,13,3,0,11,10,1,1,0,0,2,2,0,0,0,0
5ead9a8bc16ed7badb7d88d3,341,4,8,4,4,2,2,1,1,1,1,2,3,3,2,0,1
5ead9a8bc16ed7badb7d88d3,367,0,7,0,8,0,0,0,0,0,0,0,0,7,7,0,0
5ead9a8bc16ed7badb7d88d3,650,1,14,1,11,1,1,0,0,0,0,1,1,11,11,0,0
5eac5940c16ed7badb7d135d,341,2,3,0,0,2,2,0,0,0,0,0,0,0,0,0,0
5eac5940c16ed7badb7d135d,367,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0
5eac5940c16ed7badb7d135d,650,6,6,2,0,4,5,2,1,0,0,0,1,0,0,0,0
5eac05f808817a3603eb1295,341,8,8,8,6,5,6,2,2,0,0,1,1,1,1,5,5
5eac05f808817a3603eb1295,367,7,11,6,7,2,4,3,1,2,2,2,4,4,5,1,0
5eac05f808817a3603eb1295,650,7,13,5,4,5,6,2,0,0,0,3,4,3,4,1,0
5eb10c194cf34fb40ff133cb,341,1,3,0,2,1,0,0,0,0,0,0,0,2,2,0,0
5eb10c194cf34fb40ff133cb,367,9,9,1,1,9,7,0,1,0,0,0,0,1,0,0,1
5eb10c194cf34fb40ff133cb,650,8,13,1,6,7,7,0,0,1,1,0,1,5,4,0,1
5eb10e144cf34fb40ff13699,341,4,8,2,2,4,3,0,0,0,0,2,2,2,2,0,0
5eb10e144cf34fb40ff13699,367,14,11,2,6,8,9,1,0,5,5,1,1,1,1,0,0
5eb10e144cf34fb40ff13699,650,5,11,8,2,2,4,3,1,0,0,4,7,2,1,0,1
